,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temperature(F),Wind Speed(mph)
287,Hong Kong,14,HK,1612749666,81,22.2855,114.1577,71.01,11.99
288,Kumul,28,CN,1612750085,72,42.8,93.45,33.37,4.14
289,Palmer,75,US,1612749943,86,42.1584,-72.3287,28.0,4.61
290,Bambous Virieux,40,MU,1612749943,83,-20.3428,57.7575,78.8,5.75
291,Jelenia Góra,100,PL,1612749943,84,50.8997,15.729,17.01,13.51
292,Nokaneng,100,BW,1612749944,92,-19.6667,22.2667,68.22,12.15
293,Tawao,20,MY,1612749689,78,4.2498,117.8871,82.4,2.3
294,Onguday,100,RU,1612749944,89,50.75,86.15,18.52,4.32
295,Ron Phibun,20,TH,1612749944,94,8.1791,99.8542,80.6,2.3
296,Rundu,100,NA,1612749944,93,-17.9333,19.7667,68.16,4.92
297,Dzilam González,24,MX,1612749944,94,21.2833,-88.9333,72.59,6.4
298,Mossamedes,73,AO,1612749945,80,-15.1961,12.1522,71.8,4.43
299,Eureka,100,US,1612749945,82,40.8021,-124.1637,48.99,5.99
300,Saurimo,100,AO,1612749945,95,-9.6608,20.3916,65.66,5.53
301,Vanderhoof,98,CA,1612749852,90,54.0166,-124.0198,-3.87,2.39
302,Arkhipo-Osipovka,100,RU,1612749946,90,44.37,38.52,46.99,10.71
303,Kununurra,75,AU,1612749907,79,-15.7667,128.7333,87.8,8.05
304,Hasaki,75,JP,1612749946,42,35.7333,140.8333,46.0,10.36
305,Ténenkou,77,ML,1612749946,22,14.4572,-4.9169,72.0,14.27
306,Lucapa,100,AO,1612749947,93,-8.4192,20.7447,65.46,3.53
307,Magistral'nyy,100,RU,1612749947,96,56.1725,107.4458,22.96,6.67
308,Dicamay,25,PH,1612749947,70,16.7561,122.0037,80.02,3.18
309,Krasnovishersk,100,RU,1612749947,85,60.4078,57.082,-21.6,6.35
310,Marshall,1,US,1612749948,100,34.3834,-86.3333,33.01,3.44
311,Ostrovnoy,100,RU,1612749948,94,68.0531,39.5131,17.13,11.61
312,Veydelevka,100,RU,1612749948,83,50.1521,38.4492,10.9,4.05
313,Suez,0,EG,1612749948,55,29.9737,32.5263,58.42,3.24
314,Kashgar,40,CN,1612749948,55,39.4547,75.9797,33.8,6.71
315,Heze,99,CN,1612749949,53,35.2431,115.4411,39.74,8.57
316,Huilong,44,CN,1612749949,52,31.8111,121.655,48.99,8.01
317,Lodwar,83,KE,1612749949,46,3.1191,35.5973,80.74,2.68
318,Narsaq,67,GL,1612749950,30,60.9167,-46.05,37.4,42.57
319,Necochea,32,AR,1612749867,74,-38.5473,-58.7368,59.0,11.54
320,Vila Velha,90,BR,1612749951,94,-20.3297,-40.2925,70.0,3.44
321,Baghdad,0,IQ,1612749901,100,33.3406,44.4009,50.0,1.14
322,Siderno,75,IT,1612749951,82,38.2779,16.302,57.0,11.5
323,Castro,0,BR,1612749951,69,-24.7911,-50.0119,56.39,6.96
324,Chenzhou,100,CN,1612749951,85,25.8,113.0333,53.13,5.35
325,Horta,22,PT,1612749952,82,38.5333,-28.6333,57.78,17.13
326,Alofi,75,NU,1612749925,70,-19.0595,-169.9187,86.0,10.36
327,Fairbanks,1,US,1612749902,76,64.8378,-147.7164,-13.0,3.56
328,Rāvar,39,IR,1612749952,67,31.2656,56.8055,52.0,8.1
329,Dudinka,97,RU,1612749952,83,69.4058,86.1778,-24.92,12.86
330,Skibotn,75,NO,1612749953,74,69.3913,20.2679,26.6,5.75
331,Juegang,91,CN,1612749953,63,32.3174,121.1855,43.0,3.0
332,Orël-Izumrud,100,RU,1612749953,87,43.4583,39.9244,44.6,4.47
333,Alibag,88,IN,1612749953,38,18.6411,72.8792,75.2,4.61
334,Kirkwall,75,GB,1612749953,80,58.9848,-2.9587,30.2,11.5
335,Pelym,100,RU,1612749954,89,61.0108,61.9978,-12.64,6.17
336,Lewisporte,40,CA,1612749954,74,49.2499,-55.0482,28.4,18.41
337,Guajará,100,BR,1612749954,94,-2.9667,-57.6667,75.15,1.95
338,Rāmhormoz,0,IR,1612749928,68,31.28,49.6035,56.98,3.76
339,Jinxiang,100,CN,1612749955,75,27.4327,120.6062,53.19,17.11
340,Kendari,98,ID,1612749955,63,-3.945,122.4989,86.52,3.27
341,Avera,1,US,1612749955,80,33.194,-82.5271,37.99,6.17
342,Mehamn,100,NO,1612749955,92,71.0357,27.8492,23.54,22.39
343,Havre-St-Pierre,75,CA,1612749885,85,50.2334,-63.5986,12.2,2.3
344,Kurchum,57,KZ,1612749956,91,48.5722,83.6542,17.82,2.95
345,Kruisfontein,100,ZA,1612749956,87,-34.0033,24.7314,62.01,1.01
346,Harnai,0,PK,1612749956,38,30.1005,67.9374,50.9,0.74
347,Mount Isa,75,AU,1612749956,62,-20.7333,139.5,87.8,16.11
348,Aklavik,100,CA,1612749957,76,68.2191,-135.0107,-23.8,10.36
349,Albuquerque,20,US,1612749714,11,35.0845,-106.6511,53.6,9.22
350,Morwell,98,AU,1612749957,59,-38.2333,146.4,68.0,7.0
351,São José da Coroa Grande,100,BR,1612749957,81,-8.8978,-35.1478,77.76,8.1
352,Deqing,100,CN,1612749958,84,30.5448,119.9599,46.99,8.99
353,Kasempa,100,ZM,1612749958,97,-13.4584,25.8338,65.59,6.42
354,Kaitangata,100,NZ,1612749958,79,-46.2817,169.8464,66.0,5.01
355,Kalmunai,28,LK,1612749958,87,7.4167,81.8167,77.59,10.87
356,Ponta Delgada,40,PT,1612749867,77,37.7333,-25.6667,57.2,10.36
357,Cornwall,90,CA,1612749912,73,45.0181,-74.7281,19.4,17.27
358,Quelimane,17,MZ,1612749748,94,-17.8786,36.8883,74.41,2.73
359,Gérardmer,90,FR,1612749959,87,48.0735,6.8779,37.4,4.61
360,Dingle,100,PH,1612749960,92,10.9995,122.6711,75.83,11.34
361,Sungai Raya,12,ID,1612749960,73,0.7,108.9,82.22,8.63
362,Chiredzi,100,ZW,1612749960,71,-21.05,31.6667,71.49,2.89
363,Warrnambool,97,AU,1612749960,75,-38.3833,142.4833,63.0,14.79
364,Edd,26,ER,1612749960,77,13.9297,41.6925,72.32,3.11
365,Tomiño,75,ES,1612749961,87,41.9877,-8.755,57.0,11.5
366,Labuhan,77,ID,1612749961,80,-6.8844,112.2051,81.99,12.73
367,Bonham,1,US,1612749961,81,33.5773,-96.1783,44.01,13.8
368,Poum,2,NC,1612749961,69,-20.2333,164.0167,81.16,8.81
369,Nome,1,US,1612749962,77,64.5011,-165.4064,0.0,3.44
370,Cockburn Town,20,TC,1612749843,83,21.4612,-71.1419,77.0,11.5
371,Senno,100,RU,1612749962,85,59.5336,33.9167,5.0,1.99
372,Te Anau,100,NZ,1612749962,65,-45.4167,167.7167,66.04,4.88
373,Onverwacht,75,SR,1612749963,94,5.5833,-55.1833,80.01,1.14
374,Tiznit Province,79,MA,1612749963,85,29.5833,-9.5,50.52,3.18
375,Tiksi,46,RU,1612749963,86,71.6872,128.8694,-29.22,5.46
376,Klaksvík,75,FO,1612749963,64,62.2266,-6.589,35.6,17.27
377,Najrān,20,SA,1612749963,51,17.4924,44.1277,59.0,4.85
378,Jackson,1,US,1612749964,70,42.4165,-122.8345,42.8,3.44
379,Bethel,90,US,1612749964,74,41.3712,-73.414,28.4,16.11
380,Nakapiripirit,100,UG,1612749964,61,1.9167,34.7833,67.44,4.79
381,Osoyoos,100,CA,1612749964,93,49.0331,-119.4524,30.2,5.75
382,Petrolia,75,CA,1612749965,56,42.8668,-82.1498,8.6,9.22
383,Lumberton,1,US,1612749712,93,34.6182,-79.0086,37.4,4.32
384,Kuril'sk,100,RU,1612749965,91,45.2333,147.8833,17.6,17.72
385,Okhotsk,100,RU,1612750105,89,59.3833,143.3,17.51,21.5
386,Hobyo,15,SO,1612749966,82,5.3505,48.5268,76.69,17.11
387,Chachapoyas,42,PE,1612749966,90,-6.2317,-77.869,55.09,1.03
388,Jaguarão,0,BR,1612749966,87,-32.5661,-53.3758,63.0,15.01
389,Nara,40,JP,1612749815,61,34.6851,135.8049,46.4,5.75
390,Mudhol,93,IN,1612749967,48,16.35,75.2833,62.71,8.16
391,Biskupiec,0,PL,1612749967,72,53.8647,20.9569,3.2,9.22
392,Linhares,100,BR,1612749967,97,-19.3911,-40.0722,72.59,2.8
393,San Quintín,0,MX,1612749967,74,30.4833,-115.95,59.68,7.25
394,Vila,85,PT,1612749968,94,42.0304,-8.1588,45.0,13.0
395,Mergen,0,CN,1612749968,86,49.1833,125.2167,-4.36,5.23
396,Sabzawār,100,IR,1612749968,56,36.2126,57.6819,49.8,4.61
397,Lethem,74,GY,1612749968,66,3.3803,-59.7968,80.22,14.52
398,Nuevo Progreso,4,MX,1612749969,93,23.1667,-97.95,64.0,4.23
399,Tautira,20,PF,1612749969,66,-17.7333,-149.15,86.0,12.66
400,Roebourne,0,AU,1612749969,55,-20.7833,117.1333,83.55,7.43
401,Kavieng,11,PG,1612750108,70,-2.5744,150.7967,85.26,6.64
402,Kieta,27,PG,1612749969,74,-6.2167,155.6333,85.44,8.5
403,Buala,71,SB,1612749970,70,-8.145,159.5921,86.7,11.56
404,Yeppoon,75,AU,1612749970,52,-23.1333,150.7333,91.4,5.75
405,La Palma,75,US,1612749970,82,33.8464,-118.0467,60.01,4.61
406,Perth,40,AU,1612749836,83,-31.9333,115.8333,70.0,16.11
407,Chalon-sur-Saône,100,FR,1612749970,92,46.7833,4.85,39.0,1.99
408,Stokmarknes,54,NO,1612749971,66,68.5646,14.9108,30.99,3.8
409,San Policarpo,100,PH,1612749971,86,12.1791,125.5072,77.18,11.39
410,Ponnāni,20,IN,1612749916,94,10.767,75.9252,71.6,2.3
411,Horní Planá,100,CZ,1612749790,90,48.7674,14.0326,33.01,8.52
412,Węgorzewo,32,PL,1612749971,88,54.2157,21.7372,2.26,11.65
413,Olafsvik,39,IS,1612749972,81,64.8945,-23.7142,35.47,16.62
414,Iquitos,75,PE,1612749877,94,-3.7481,-73.2472,75.2,1.14
415,Pag,90,HR,1612749972,94,44.445,15.0575,53.6,8.05
416,Pahrump,0,US,1612749972,22,36.2083,-115.9839,55.99,1.16
417,Maceió,40,BR,1612749972,88,-9.6658,-35.7353,75.2,2.3
418,Maniitsoq,0,GL,1612749973,79,65.4167,-52.9,25.09,16.84
419,Cuamba,88,MZ,1612749973,96,-14.8031,36.5372,69.15,1.01
420,Katherine,75,AU,1612749973,74,-14.4667,132.2667,82.4,9.22
421,San Cristobal,100,VE,1612749871,86,7.7669,-72.225,67.32,0.85
422,Jonesboro,90,US,1612749801,74,35.8423,-90.7043,26.6,9.22
423,Panjāb,93,AF,1612749974,84,34.388,67.0233,22.17,2.01
424,Resistencia,0,AR,1612749974,83,-27.4606,-58.9839,75.99,2.3
425,Aksarka,100,RU,1612749974,88,66.5606,67.7975,-16.08,27.16
426,Mareeba,95,AU,1612749974,70,-17.0,145.4333,91.0,3.44
427,Hvide Sande,100,DK,1612749974,80,56.0045,8.1294,26.01,8.99
428,Laguna,1,US,1612749975,54,38.421,-121.4238,57.99,3.44
429,Sola,63,VU,1612749975,63,-13.8833,167.55,82.15,3.69
430,Weihai,8,CN,1612749908,83,37.5017,122.1136,31.8,13.96
431,Batagay,56,RU,1612749975,83,67.6333,134.6333,-28.88,1.99
432,Pallasovka,0,RU,1612749976,88,50.05,46.8833,4.17,12.93
433,Puerto Colombia,0,CO,1612749976,83,10.9878,-74.9547,78.8,8.05
434,Bellefontaine,100,US,1612749976,95,40.3612,-83.7597,8.01,4.43
435,Yuzhno-Kurilsk,3,RU,1612749976,82,44.0306,145.8556,20.03,6.91
436,Korčula,75,HR,1612749976,94,42.9622,17.1369,55.4,3.44
437,Kupang,40,ID,1612749977,89,-10.1667,123.5833,82.4,8.05
438,Pangai,90,TO,1612749977,94,-19.8,-174.35,77.0,11.5
439,Rawson,0,AR,1612749977,64,-43.3002,-65.1023,57.97,15.59
440,Zhezkazgan,100,KZ,1612749977,99,47.8043,67.7144,31.82,25.7
441,Carutapera,3,BR,1612749978,92,-1.195,-46.02,76.68,5.41
442,Inuvik,100,CA,1612749978,76,68.3499,-133.7218,-23.8,10.36
443,Caravelas,100,BR,1612749978,93,-17.7125,-39.2481,75.96,6.13
444,Tres Arroyos,74,AR,1612749978,81,-38.3739,-60.2798,55.02,10.98
445,Atasū,100,KZ,1612749978,97,48.6814,71.6433,34.61,31.63
446,Ongandjera,100,NA,1612749979,31,-17.8833,15.0667,73.87,6.53
447,Sabang,6,ID,1612749979,77,5.8933,95.3214,82.09,15.9
448,Olds,100,CA,1612749756,76,51.7834,-114.102,-16.01,6.91
449,Castle Douglas,17,GB,1612749979,76,54.9409,-3.9278,30.99,5.99
450,São Geraldo do Araguaia,87,BR,1612749979,93,-6.4006,-48.555,74.08,3.13
451,Pasni,0,PK,1612749980,42,25.2631,63.471,65.03,7.58
452,Gazli,100,UZ,1612749980,73,40.1333,63.45,51.03,5.73
453,Cervo,100,ES,1612749980,100,43.6702,-7.4101,46.99,8.99
454,Bitung,40,ID,1612749980,74,1.4451,125.1824,84.2,9.22
455,Garoowe,27,SO,1612749981,91,8.4054,48.4845,65.52,7.02
456,Zhigansk,0,RU,1612749981,79,66.7697,123.3711,-28.52,5.55
457,Petropavlovka,90,RU,1612749981,88,50.6114,105.3196,3.31,2.64
458,Winnemucca,1,US,1612749897,28,40.973,-117.7357,41.0,6.91
459,Timrå,90,SE,1612749981,79,62.487,17.3257,19.4,6.91
460,Myitkyina,99,MM,1612749982,47,25.3833,97.4,63.0,2.17
461,Yuci,0,CN,1612749982,43,37.6803,112.7319,32.0,2.24
462,Pontianak,40,ID,1612749982,89,-0.0333,109.3333,78.8,6.91
463,West Odessa,1,US,1612749982,18,31.8424,-102.4988,61.0,12.66
464,Būkān,1,IR,1612749909,82,36.521,46.2089,38.1,4.34
465,Seoul,0,KR,1612749879,29,37.5683,126.9778,28.4,14.97
466,Slantsy,79,RU,1612749983,96,59.1182,28.0914,10.06,4.05
467,Tura,0,IN,1612749983,40,25.5198,90.2201,63.45,2.53
468,Biak,99,ID,1612749983,65,-0.9131,122.8766,83.79,1.28
469,Vao,13,NC,1612749970,83,-22.6667,167.4833,78.31,9.64
470,Humaitá,100,BR,1612749984,93,-7.5061,-63.0208,75.87,2.13
471,Broome,75,US,1612749984,62,42.2506,-75.833,14.0,11.5
472,Baracoa,5,CU,1612749984,65,20.3467,-74.4958,74.28,3.38
473,Oeiras,31,BR,1612749984,68,-7.0253,-42.1311,76.5,2.01
474,Henties Bay,97,NA,1612749984,92,-22.116,14.2845,63.0,7.0
475,Kudahuvadhoo,6,MV,1612749985,74,2.6708,72.8944,81.18,16.06
476,Bafia,100,CM,1612749985,95,4.75,11.2333,68.9,0.78
477,Cap Malheureux,27,MU,1612749985,82,-19.9842,57.6142,78.01,1.99
478,Bushehr,0,IR,1612749985,88,28.9684,50.8385,60.8,11.5
479,Bagdarin,100,RU,1612749985,86,54.4333,113.6,0.43,0.81
480,Nchelenge,100,ZM,1612749986,81,-9.3451,28.734,72.23,8.25
481,Vung Tau,28,VN,1612749986,75,10.346,107.0843,77.67,10.27
482,Salalah,0,OM,1612749986,73,17.0151,54.0924,69.8,5.75
483,Aksu,0,CN,1612749986,88,41.1231,80.2644,25.57,1.77
484,Jutaí,100,BR,1612749987,95,-5.1833,-68.9,74.93,2.39
485,Tucupita,82,VE,1612749987,92,9.0622,-62.051,73.44,4.47
486,Sura,98,RU,1612749987,89,53.8879,45.7419,-4.86,10.8
487,Teya,100,RU,1612749987,92,60.3778,92.6267,13.3,11.86
488,Broken Hill,0,AU,1612749987,33,-31.95,141.4333,75.2,12.66
489,Rūdbār,16,AF,1612749988,33,30.15,62.6,56.21,6.91
490,Ranong,0,TH,1612749988,83,9.9658,98.6348,78.8,2.3
491,Makakilo City,1,US,1612749988,47,21.3469,-158.0858,78.01,6.91
492,San Miguel de Tucumán,0,AR,1612749988,78,-26.8241,-65.2226,77.0,5.75
493,Felnac,20,RO,1612749989,76,46.1167,21.15,46.4,9.22
494,Lloydminster,75,CA,1612749989,76,53.2835,-110.0016,-23.8,9.22
495,Puerto Quijarro,33,BO,1612749989,56,-17.7833,-57.7667,75.02,2.8
496,Berbera,4,SO,1612749989,73,10.4396,45.0143,73.4,3.42
497,Kristinestad,69,FI,1612749989,97,62.2743,21.376,14.9,7.23
498,Río Gallegos,0,AR,1612749695,48,-51.6226,-69.2181,62.6,17.27
499,Bedelē,18,ET,1612749990,47,8.456,36.353,51.31,1.59
500,Elk City,90,US,1612749990,100,35.412,-99.4043,33.8,14.97
501,Upanema,87,BR,1612749990,64,-5.6419,-37.2578,79.92,9.04
502,Saint-Augustin,2,CA,1612749905,92,51.226,-58.6502,16.59,10.2
503,Langsa,63,ID,1612749930,67,4.4683,97.9683,83.19,2.57
504,Boyolangu,45,ID,1612749991,74,-8.1181,111.8935,82.17,9.57
505,Nikki,0,BJ,1612749991,24,9.9401,3.2108,73.99,4.97
506,Norman Wells,20,CA,1612749991,75,65.282,-126.8329,-31.0,5.75
507,Noumea,20,NC,1612749992,66,-22.2763,166.4572,86.0,10.36
508,Bon Air,90,US,1612749992,100,37.5249,-77.5578,37.0,7.83
509,Jiazi,0,CN,1612749985,66,22.8779,116.067,69.69,17.4
510,Mitsamiouli,100,KM,1612749992,79,-11.3847,43.2844,82.47,14.65
511,Itupiranga,99,BR,1612749992,90,-5.1347,-49.3267,75.04,3.67
512,Izazi,100,TZ,1612749993,87,-7.2,35.7333,69.08,1.77
513,Talcahuano,0,CL,1612749993,94,-36.7167,-73.1167,57.2,3.44
514,Mitchell,90,US,1612749788,71,43.7094,-98.0298,1.4,3.44
515,Camaná,80,PE,1612749993,79,-16.6228,-72.7111,72.68,3.85
516,Illertissen,75,DE,1612749994,93,48.2234,10.1035,34.0,5.75
517,Pauini,100,BR,1612749994,95,-7.7136,-66.9764,75.06,1.88
518,Prado,100,BR,1612749994,90,-17.3411,-39.2208,77.16,9.71
519,Selishche,91,RU,1612749994,94,56.8879,33.2691,2.73,5.53
520,Hurricane,1,US,1612749995,17,37.1753,-113.2899,57.2,6.91
521,Riyadh,0,SA,1612749992,71,24.6877,46.7219,55.4,9.22
522,Port Keats,90,AU,1612749995,72,-14.25,129.55,82.8,6.38
523,Namatanai,33,PG,1612749995,73,-3.6667,152.4333,84.69,5.97
524,Arrondissement de Dieppe,90,FR,1612749996,93,49.75,1.1667,28.4,6.91
525,Diego de Almagro,0,CL,1612749996,55,-26.3667,-70.05,58.48,0.27
526,Altagracia de Orituco,61,VE,1612749996,84,9.8601,-66.3814,72.09,6.55
527,Orlik,86,RU,1612749997,82,52.5178,99.825,5.25,2.75
528,Samarai,80,PG,1612749997,69,-10.6167,150.6667,85.59,1.03
529,Yamada,20,JP,1612749997,83,39.4667,141.95,30.22,20.29
530,Port Augusta,0,AU,1612749997,46,-32.5,137.7667,82.0,10.36
531,Portland,75,US,1612749997,61,45.5234,-122.6762,46.4,8.05
532,Verkhnyaya Inta,100,RU,1612749998,89,65.9811,60.3094,-13.99,7.94
533,Luanda,75,AO,1612749827,78,-8.8368,13.2343,78.8,5.75
534,Kwekwe,94,ZW,1612749998,91,-18.9281,29.8149,65.53,7.43
535,Cheyenne,90,US,1612749998,85,41.14,-104.8203,5.0,12.66
536,Moyale,99,KE,1612749998,46,3.5167,39.0584,71.87,9.95
537,Port Blair,20,IN,1612750000,74,11.6667,92.75,80.06,13.67
538,Baringo,100,KE,1612750000,66,0.4667,35.9667,72.84,6.26
539,Knittelfeld,90,AT,1612750000,100,47.2167,14.8167,44.01,4.61
540,Poronaysk,100,RU,1612750000,85,49.2167,143.1167,10.38,7.09
541,Omsukchan,100,RU,1612750000,87,62.5333,155.8,7.18,15.68
542,Kalemie,100,CD,1612750001,82,-5.9475,29.1947,71.6,6.06
543,Nerchinskiy Zavod,13,RU,1612750001,87,51.3088,119.61,-14.67,3.8
544,Iquique,0,CL,1612749912,56,-20.2208,-70.1431,71.6,14.97
545,Asău,75,RO,1612750001,72,46.4333,26.4,30.0,1.59
546,Berdigestyakh,0,RU,1612750002,86,62.0989,126.6992,-21.35,3.53
547,Shelburne,78,CA,1612750002,89,44.0787,-80.2041,8.01,10.27
548,Andrews,1,US,1612750002,11,32.3187,-102.5457,60.8,9.22
549,Tateyama,20,JP,1612750002,50,34.9833,139.8667,53.6,14.97
550,Fenoarivo,75,MG,1612750002,88,-18.933,47.4354,66.2,0.63
551,Palekh,0,RU,1612750003,87,56.8028,41.8572,-16.85,7.76
552,Aden,43,YE,1612749762,66,12.7794,45.0367,75.09,4.63
553,Pedernales,2,DO,1612750003,70,18.0384,-71.744,78.24,7.43
554,Malanje,100,AO,1612750003,97,-9.5402,16.341,64.4,7.18
555,Esim,63,GH,1612750004,86,4.8699,-2.2405,79.63,8.59
556,Zunyi,100,CN,1612750004,85,27.6867,106.9072,50.34,1.68
557,Yahualica de González Gallo,5,MX,1612750004,26,21.1333,-102.85,68.04,6.67
558,Zvishavane,100,ZW,1612750004,88,-20.3267,30.0665,67.84,2.77
559,Lukulu,100,ZM,1612750004,94,-14.3707,23.242,66.63,9.89
560,La Ronge,1,CA,1612750005,61,55.1001,-105.2842,-31.0,4.61
561,Nizwá,12,OM,1612750005,64,22.9333,57.5333,53.58,2.98
562,Marabu,40,MY,1612750005,89,4.4148,114.0089,82.4,5.75
563,Cabra,100,ES,1612750005,81,37.4725,-4.4421,48.99,1.99
564,Guadalupe y Calvo,87,MX,1612750006,62,26.1,-106.9667,42.93,2.26
565,Acapulco de Juárez,20,MX,1612750006,78,16.8634,-99.8901,80.6,9.22
566,Rodrigues Alves,100,BR,1612750006,93,-7.738,-72.6509,75.49,2.04
567,Dunedin,100,NZ,1612750006,88,-45.8742,170.5036,61.0,1.01
568,Qiongshan,40,CN,1612750006,94,20.0058,110.3542,69.8,8.95
569,Nipawin,1,CA,1612750007,56,53.3668,-104.0009,-25.6,9.22
570,Jega,10,NG,1612750007,18,12.2175,4.3792,72.68,8.55
571,Romitan,100,UZ,1612750007,100,39.9343,64.3814,44.6,6.91
572,‘Āhuimanu,40,US,1612750008,50,21.4447,-157.8378,78.01,8.05
573,Gagarin,36,RU,1612750008,93,55.5529,34.9954,-2.06,5.28
574,Corrales,25,US,1612750008,18,35.2378,-106.6067,50.0,5.59
575,Hanchuan,75,CN,1612750008,71,30.65,113.7667,46.4,8.95
